destination,origin,visitor_home_aggregation,end
Bronx,Bronx,30745,2020-03-16
Bronx,Brooklyn,2929,2020-03-16
Bronx,Manhattan,2722,2020-03-16
Bronx,Queens,1860,2020-03-16
Bronx,Staten Island,258,2020-03-16
Brooklyn,Bronx,1985,2020-03-16
Brooklyn,Brooklyn,40374,2020-03-16
Brooklyn,Manhattan,1818,2020-03-16
Brooklyn,Queens,5493,2020-03-16
Brooklyn,Staten Island,2052,2020-03-16
Manhattan,Bronx,84340,2020-03-16
Manhattan,Brooklyn,84168,2020-03-16
Manhattan,Manhattan,204755,2020-03-16
Manhattan,Queens,85893,2020-03-16
Manhattan,Staten Island,15598,2020-03-16
Queens,Bronx,676,2020-03-16
Queens,Brooklyn,1887,2020-03-16
Queens,Manhattan,562,2020-03-16
Queens,Queens,25569,2020-03-16
Queens,Staten Island,146,2020-03-16
Staten Island,Bronx,69,2020-03-16
Staten Island,Brooklyn,790,2020-03-16
Staten Island,Manhattan,223,2020-03-16
Staten Island,Queens,234,2020-03-16
Staten Island,Staten Island,24065,2020-03-16
