i,S,I,R,rt
32.4675,99867.5325,107.4675,25.0,1.3
34.880670659067185,99832.65182934093,115.4812956590672,51.866875,1.3
37.468612942581714,99795.18321639835,124.07958468688213,80.7371989147668,1.3
40.24327088353656,99754.93994551481,133.30295939869814,111.75709508648733,1.3
43.21729330547373,99711.72265220934,143.19451285449733,145.08283493616187,1.3
46.40405754096407,99665.31859466838,153.79994218183705,180.8814631497862,1.3
49.817690771531694,99615.50090389684,165.16764740790947,219.33144869524548,1.3
53.47308827138565,99562.02781562545,177.34882382731774,260.62336054722283,1.3
57.38592772563257,99504.64188789982,190.3975455961209,304.9605665040523,1.3
61.572678670350534,99443.06920922948,204.3708378674412,352.5599529030825,1.3
66.05060596680056,99377.01860326268,219.32873436738146,403.6526623699428,1.3
70.83776607523632,99306.18083718745,235.33431685077244,458.48484596178815,1.3
75.95299473573104,99230.22784245171,252.4537323738104,517.3184251744813,1.3
81.41588449517424,99148.81195795654,270.756183775532,580.4318582679339,1.3
87.24675034274598,99061.56520761379,290.313888174395,648.1209042118169,1.3
93.46658153320713,98968.09862608058,311.2019976640034,720.6993762554156,1.3
100.09697749169426,98868.00164858889,333.4984757396968,798.4998756714165,1.3
107.16006551001124,98760.84158307889,357.2839223147838,881.8744946063407,1.3
114.67839776871213,98646.16318531017,382.64133950479993,971.1954751850367,1.3
122.67482505926755,98523.4883602509,409.6558296878675,1066.8558100612368,1.3
131.172344445875,98392.31601580503,438.4142167117757,1169.2697674832036,1.3
140.19391800871165,98252.12209779632,469.0045805425434,1278.8733216611477,1.3
149.76225976364813,98102.35983803267,501.51569517055566,1396.1244667967835,1.3
159.89958787413963,97942.46025015853,536.0363592520564,1521.5033905894225,1.3
170.62733937822375,97771.83291078031,572.6546088172661,1655.5124804024365,1.3
181.9658448688275,97589.86706591149,611.4568014817771,1798.676132606753,1.3
193.9339609127507,97395.93310499874,652.5265620240837,1951.5403329771973,1.3
206.5486584984305,97189.3844465003,695.9435800164933,2114.671973483218,1.3
219.82456649171434,96969.55988000859,741.7822515040843,2288.6578684873416,1.3
233.77346997924693,96735.78641002934,790.1101586073102,2474.1034313633627,1.3
248.40376451615126,96487.3826455132,840.9863834716339,2671.6309710151904,1.3
263.71986869050494,96223.66277682269,894.4596562942303,2881.877566883099,1.3
279.7215990878684,95943.94117773483,950.5663413085412,3105.4924809566564,1.3
296.4035136921342,95647.5376640427,1009.32826967354,3343.1340662837915,1.3
313.75423198919464,95333.7834320535,1070.7504342443494,3595.4661337021766,1.3
331.7557425260911,95002.02768952741,1134.818568209353,3863.153742263264,1.3
350.3827113787482,94651.64497814867,1201.496637535763,4146.858384315602,1.3
369.6018078300419,94282.04317031863,1270.7242859818643,4447.2325436995425,1.3
389.371066462672,93892.67210385596,1342.4142809490702,4764.913615195009,1.3
409.63930770322503,93483.03279615274,1416.4500184150277,5100.517185432276,1.3
430.34564145821037,93052.68715469453,1492.6831552694812,5454.629690036033,1.3
451.41908067221345,92601.26807402231,1570.9314471243244,5827.800478853404,1.3
472.778293198482,92128.48978082383,1650.9768785417255,6220.533340634484,1.3
494.3315210701003,91634.15825975373,1732.5641799763944,6633.277560269916,1.3
515.9766958551965,91118.18156389854,1815.3998308374921,7066.418605264014,1.3
537.6017770412943,90580.57978685726,1899.1516501694136,7520.268562973388,1.3
559.0853371204146,90021.49444973684,1983.4490747474747,7995.056475515741,1.3
580.2974120895752,89441.19703764726,2067.8842181501814,8490.91874420261,1.3
601.1006293714875,88840.09640827577,2152.013792984123,9007.889798740156,1.3
621.3516167321083,88218.74479154366,2235.3619614702,9545.893246986187,1.3
640.9026857859081,87577.84210575775,2317.424156888558,10104.733737353738,1.3
659.6037724381785,86918.23833331958,2397.671890104597,10684.089776575876,1.3
677.3046045649396,86240.93372875464,2475.5585221433876,11283.507749102026,1.3
693.8570549619204,85547.07667379272,2550.5259465694608,11902.397379637872,1.3
709.1176258064452,84837.95904798627,2622.0120857335405,12540.028866280238,1.3
722.9500003465582,84115.0090476397,2689.4590646467136,13195.531887713623,1.3
735.2275890570486,83379.78145858266,2752.321887542084,13867.896653875301,1.3
745.8359918325312,82633.94546675013,2810.077407489094,14555.977125760823,1.3
754.6752955553512,81879.27017119477,2862.2333511721718,15258.496477633096,1.3
761.662128024299,81117.60804317048,2908.3371414034277,15974.05481542614,1.3
766.7313949547139,80350.87664821577,2947.9842510072845,16701.139100776996,1.3
769.8376364690995,79581.03901174666,2980.8258247245626,17438.135163528816,1.3
770.9559527950388,78810.08305895163,3006.5753213384605,18183.341619709958,1.3
770.0824650924544,78040.00059385918,3025.0139560963,18934.985450044573,1.3
767.2342955231094,77272.76629833606,3035.994762595334,19691.238939068648,1.3
762.4490697622549,76510.31722857381,3039.4451417087557,20450.23762971748,1.3
755.7839639706993,75754.53326460312,3035.367820252266,21210.09891514467,1.3
747.31433565622,75007.2189289469,3023.8402008454195,21968.940870207738,1.3
737.1319928406302,74270.08693610627,3005.0121434746948,22724.90092041909,1.3
725.343167704742,73544.74376840152,2979.102275310763,23476.153956287766,1.3
712.0662688671741,72832.67749953434,2946.3929753502466,24220.929525115458,1.3
697.4294904218784,72135.24800911246,2907.224221934563,24957.52776895302,1.3
681.5683558688833,71453.67965324358,2861.9865223198058,25684.33382443666,1.3
664.6232714476553,70789.05638179593,2811.1131631875096,26399.83045501661,1.3
646.7371566645904,70142.31922513134,2755.0720290552226,27102.608745813486,1.3
628.0532106882207,69514.26601444313,2694.357232479638,27791.376753077293,1.3
608.7128625387171,68905.55315190442,2629.4807868984453,28464.966061197203,1.3
588.8539414015124,68316.6992105029,2560.964531575346,29122.336257921816,1.3
568.609091675298,67748.0901188276,2489.3324903568077,29762.57739081565,1.3
548.1044461503603,67199.98567267724,2415.103813917966,30384.910513404855,1.3
527.4585605032753,66672.52711217396,2338.78642094175,30988.68646688435,1.3
506.7816034444252,66165.74550872954,2260.871419150738,31573.383072119785,1.3
486.17478957933577,65679.5707191502,2181.828353942389,32138.600926907468,1.3
465.73003642687024,65213.840682723334,2102.101301883662,32684.058015393064,1.3
445.52982304995595,64768.31085967338,2022.1057994627026,33209.58334086398,1.3
425.6472252849332,64342.663634388446,1942.22657488196,33715.10979072966,1.3
406.146101430551,63936.51753295789,1862.816032592021,34200.66643445015,1.3
387.0814022676082,63549.43613069029,1784.1934267116242,34666.370442598156,1.3
368.49958020072535,63180.93655048956,1706.6446502344436,35112.41879927606,1.3
350.4390739222582,62830.4974765673,1630.422561598091,35539.07996183467,1.3
332.9308470872386,62497.56662948006,1555.7477682858068,35946.685602234196,1.3
315.99896187309815,62181.56766760696,1482.8097880874532,36335.62254430565,1.3
299.66117082248724,61881.906496784475,1411.7685118880772,36706.32499132751,1.3
283.9295129052283,61597.97698387925,1342.7558968212863,37059.267119299526,1.3
268.81090218893866,61329.16608169031,1275.8778248049034,37394.95609350485,1.3
254.3076998065685,61074.85838188374,1211.216068410246,37713.92554970607,1.3
240.4182620060578,60834.44011987768,1148.8303133137424,38016.72956680864,1.3
227.13745893535182,60607.30266094233,1088.7601939206586,38303.937145137075,1.3
214.45716044394075,60392.84550049839,1031.0273058844346,38576.12719361724,1.3
202.36668657098969,60190.4788139274,975.6371659843156,38833.88402008835,1.3
190.85322155009217,59999.62559237731,922.5810960383288,39077.79331158443,1.3
179.90219110794072,59819.72340126937,871.8380131366873,39308.43858559401,1.3
169.4976035887839,59650.22579768059,823.3761134412994,39526.39808887819,1.3
159.6223560203681,59490.60344166023,777.1544411013426,39732.242117238515,1.3
150.25850667257646,59340.344934987654,733.1243374985834,39926.53072751385,1.3
141.38751596905078,59198.9574190186,691.2307690929883,40109.811811888496,1.3
132.99045781531672,59065.96696120329,651.413534635058,40282.61950416175,1.3
125.04820352321372,58940.918757680076,613.6083544995072,40445.47288782051,1.3
117.54158055766493,58823.37717712241,577.7478464322953,40598.87497644539,1.3
110.4515083228606,58712.92566879955,543.7623931470821,40743.31193805346,1.3
103.75911315358287,58609.16655564597,511.5809080138945,40879.25253634023,1.3
97.44582459454355,58511.72073105143,481.1315056049644,41007.1477633437,1.3
91.49345494532095,58420.22727610611,452.34208414904424,41127.43063974495,1.3
85.88426392823773,58334.34301217787,425.1408270400209,41240.51616078221,1.3
80.6010102073591,58253.74200197052,399.45663048737475,41346.80136754221,1.3
75.62699135351102,58178.115010617,375.2194642190421,41446.665525164055,1.3
70.94607371656195,58107.16893690044,352.36067188084354,41540.47039121881,1.3
66.54271353502475,58040.62622336541,330.8132174456574,41628.56055918902,1.3
62.401970486415,57978.224252878994,310.51188357065803,41711.26386355043,1.3
58.509514761241256,57919.71473811775,291.39342743923476,41788.8918344431,1.3
54.8516286299894,57864.86310948776,273.3966992094155,41861.74019130291,1.3
51.415203366600544,57813.44790612115,256.4627277736622,41930.08936610526,1.3
48.18773229401414,57765.26017382714,240.5347781242608,41994.20504804868,1.3
45.15730062740556,57720.102873199736,225.55838422060117,42054.33874257975,1.3
42.31257270865889,57677.79030049108,211.48136087410975,42110.7283386349,1.3
39.64277715111799,57638.14752333996,198.2537978067003,42163.59867885343,1.3
37.13769034639627,57601.009832993564,185.82803870142152,42213.162128305106,1.3
34.787618724581094,57566.222214268986,174.15864775064722,42259.61913798046,1.3
32.58338010508866,57533.638834163896,163.20236591807407,42303.15879991812,1.3
30.516284427237483,57503.12254973666,152.91805886579303,42343.95939139764,1.3
28.578114106839507,57474.544435629825,143.2666582561843,42382.18890611409,1.3
26.761104227290083,57447.783331402534,134.21109791942828,42418.005570678135,1.3
25.05792274032114,57422.72540866221,125.71624617989235,42451.558345157995,1.3
23.461650822336146,57399.26375783988,117.74883545725541,42482.98740670297,1.3
21.965763506665848,57377.29799433321,110.2773900996074,42512.42461556728,1.3
20.564110689793143,57356.733883643414,103.27215326449871,42539.99396309218,1.3
19.25089859024374,57337.48298505317,96.70501353861778,42565.8120014083,1.3
18.02067172210446,57319.46231333106,90.54943187606779,42589.98825479296,1.3
16.86829543071987,57302.59401790034,84.78036933777071,42612.62561276198,1.3
15.788939025762245,57286.805078874575,79.37421602909028,42633.82070509642,1.3
14.778059536327676,57272.027019338246,74.30872155814538,42653.664259103694,1.3
13.8313861037644,57258.19563323448,69.56292727237343,42672.24143949323,1.3
12.944905020391566,57245.25072821409,65.11710047467163,42689.63217131132,1.3
12.11484541594238,57233.135882798146,60.9526707719461,42705.911446429986,1.3
11.337665588308314,57221.798217209835,57.05216866726789,42721.14961412297,1.3
10.61003997083103,57211.188177239004,53.399166471281944,42735.41265628979,1.3
9.928846724862725,57201.25933051414,49.97822157832418,42748.76244790761,1.3
9.291155943483762,57191.968174570655,46.7748221272269,42761.25700330219,1.3
8.694218450032583,57183.273956120625,43.77533504545275,42772.950708833996,1.3
8.135455173381551,57175.13850094724,40.96695645747111,42783.89454259536,1.3
7.612447080609105,57167.52605386663,38.33766442371244,42794.136281709725,1.3
7.1229256468076745,57160.40312821983,35.876173964592,42803.720697815654,1.3
6.664763841171227,57153.73836437865,33.57189431461523,42812.6897413068,1.3
6.235967608175792,57147.50239677048,31.41488834413721,42821.08271488545,1.3
5.834667822557789,57141.66772894792,29.3958340806607,42828.93643697148,1.3
5.45911269687029,57136.208616251046,27.505988257365814,42836.28539549165,1.3
5.107660620624265,57131.10095563042,25.737151813648627,42843.16189255599,1.3
4.778773410371825,57126.32218222005,24.081637270608294,42849.5961805094,1.3
4.471009950537415,57121.85117226951,22.532237903493634,42855.61658982705,1.3
4.183020205329984,57117.66815206418,21.08219863295021,42861.249649302925,1.3
