experiment,data_source,mobility_source,target_horizon,learning_rate,hidden_size,best_lag,normalized_corr,train_rmse,test_rmse,train_mae,test_mae
case_advan_cdcrnn_h1_lr0.0001_hs16,case,advan,1,0.0001,16,-22,0.62399,312.83893,83.33,24.846458,11.208842
case_advan_cdcrnn_h1_lr0.0001_hs32,case,advan,1,0.0001,32,-23,0.538837,409.62854,153.31685,31.600384,17.766245
case_advan_cdcrnn_h1_lr0.0001_hs64,case,advan,1,0.0001,64,-1,0.810351,319.15826,205.78136,24.378305,19.416761
case_advan_cdcrnn_h1_lr1e-05_hs16,case,advan,1,1e-05,16,-1,0.690062,293.72272,112.3192,20.425299,13.534485
case_advan_cdcrnn_h1_lr1e-05_hs32,case,advan,1,1e-05,32,-1,0.805483,199.72641,95.61806,18.187443,12.328866
case_advan_cdcrnn_h1_lr1e-05_hs64,case,advan,1,1e-05,64,-1,0.750572,209.17914,199.00815,17.159626,18.543882
case_advan_cdcrnn_h2_lr0.0001_hs16,case,advan,2,0.0001,16,0,0.681667,327.5295,110.98771,29.051449,13.553244
case_advan_cdcrnn_h2_lr0.0001_hs32,case,advan,2,0.0001,32,-3,0.608444,304.51843,214.45882,29.15273,16.290272
case_advan_cdcrnn_h2_lr0.0001_hs64,case,advan,2,0.0001,64,-1,0.703022,375.96695,463.52844,28.265207,24.267717
case_advan_cdcrnn_h2_lr1e-05_hs16,case,advan,2,1e-05,16,-3,0.533251,461.78915,79.05279,37.052868,14.457356
case_advan_cdcrnn_h2_lr1e-05_hs32,case,advan,2,1e-05,32,-2,0.746752,259.6118,158.58838,22.435526,17.40911
case_advan_cdcrnn_h2_lr1e-05_hs64,case,advan,2,1e-05,64,-2,0.598162,168.73177,193.94923,17.70158,20.333225
case_advan_plus_cdcrnn_h1_lr0.0001_hs16,case,advan_plus,1,0.0001,16,1,0.614734,684.0996,96.58157,39.696968,14.92074
case_advan_plus_cdcrnn_h1_lr0.0001_hs32,case,advan_plus,1,0.0001,32,0,0.697523,488.78378,62.095978,38.42611,11.648268
case_advan_plus_cdcrnn_h1_lr0.0001_hs64,case,advan_plus,1,0.0001,64,-3,0.758681,444.07547,74.84289,38.230576,14.494572
case_advan_plus_cdcrnn_h1_lr1e-05_hs16,case,advan_plus,1,1e-05,16,-2,0.684092,1037.9524,88.61641,47.141396,12.975548
case_advan_plus_cdcrnn_h1_lr1e-05_hs32,case,advan_plus,1,1e-05,32,-2,0.706589,223.95712,120.980286,19.20527,12.937106
case_advan_plus_cdcrnn_h1_lr1e-05_hs64,case,advan_plus,1,1e-05,64,-2,0.747865,434.61536,77.52324,31.553356,13.182335
case_advan_plus_cdcrnn_h2_lr0.0001_hs16,case,advan_plus,2,0.0001,16,-2,0.664602,969.6412,86.68396,42.20533,14.317307
case_advan_plus_cdcrnn_h2_lr0.0001_hs32,case,advan_plus,2,0.0001,32,-1,0.719021,443.82922,63.881016,37.13551,12.917925
case_advan_plus_cdcrnn_h2_lr0.0001_hs64,case,advan_plus,2,0.0001,64,0,0.658421,587.0913,103.91032,48.041615,16.763998
case_advan_plus_cdcrnn_h2_lr1e-05_hs16,case,advan_plus,2,1e-05,16,-2,0.666455,360.28232,172.06754,30.207047,21.294004
case_advan_plus_cdcrnn_h2_lr1e-05_hs32,case,advan_plus,2,1e-05,32,0,0.779429,308.9486,199.75949,22.842278,19.734911
case_advan_plus_cdcrnn_h2_lr1e-05_hs64,case,advan_plus,2,1e-05,64,-3,0.710679,255.16591,146.75693,21.5769,17.77109
case_safegraph_cdcrnn_h1_lr0.0001_hs16,case,safegraph,1,0.0001,16,-23,0.503865,266.60883,139.19966,22.920504,12.890989
case_safegraph_cdcrnn_h1_lr0.0001_hs32,case,safegraph,1,0.0001,32,3,0.473262,226.5282,227.6514,19.048166,15.850726
case_safegraph_cdcrnn_h1_lr0.0001_hs64,case,safegraph,1,0.0001,64,-24,0.454701,1068.6638,119.53908,72.586044,13.327644
case_safegraph_cdcrnn_h1_lr1e-05_hs16,case,safegraph,1,1e-05,16,-1,0.562208,231.3069,90.27305,17.057047,11.047957
case_safegraph_cdcrnn_h1_lr1e-05_hs32,case,safegraph,1,1e-05,32,-22,0.531793,222.65102,741.19336,16.749186,26.60142
case_safegraph_cdcrnn_h1_lr1e-05_hs64,case,safegraph,1,1e-05,64,1,0.539377,186.7049,210.18788,15.5680275,18.398415
case_safegraph_cdcrnn_h2_lr0.0001_hs16,case,safegraph,2,0.0001,16,-21,0.507079,285.6616,1310.8068,25.315063,49.5556
case_safegraph_cdcrnn_h2_lr0.0001_hs32,case,safegraph,2,0.0001,32,-22,0.490147,343.9363,234.3932,28.265207,17.56672
case_safegraph_cdcrnn_h2_lr0.0001_hs64,case,safegraph,2,0.0001,64,-23,0.517659,321.77374,199.74118,26.571903,18.428804
case_safegraph_cdcrnn_h2_lr1e-05_hs16,case,safegraph,2,1e-05,16,-3,0.447719,367.51154,102.57904,27.579939,14.918897
case_safegraph_cdcrnn_h2_lr1e-05_hs32,case,safegraph,2,1e-05,32,-24,0.5187,272.86514,1121.6547,22.584301,34.616665
case_safegraph_cdcrnn_h2_lr1e-05_hs64,case,safegraph,2,1e-05,64,-24,0.558092,269.01166,297.39804,20.763498,15.640218
hospital_advan_cdcrnn_h1_lr0.0001_hs16,hospital,advan,1,0.0001,16,8,-0.533679,336.74878,355.60077,87.17195,84.278786
hospital_advan_cdcrnn_h1_lr0.0001_hs32,hospital,advan,1,0.0001,32,-4,0.741029,507.69238,324.54315,116.33919,82.38268
hospital_advan_cdcrnn_h1_lr0.0001_hs64,hospital,advan,1,0.0001,64,6,-0.706473,478.52832,332.85278,110.48345,83.56831
hospital_advan_cdcrnn_h1_lr1e-05_hs16,hospital,advan,1,1e-05,16,-3,0.618672,317.91275,305.48846,82.22485,74.853516
hospital_advan_cdcrnn_h1_lr1e-05_hs32,hospital,advan,1,1e-05,32,-3,0.631726,280.79398,330.1088,75.96813,79.07798
hospital_advan_cdcrnn_h1_lr1e-05_hs64,hospital,advan,1,1e-05,64,-1,0.728729,295.1265,297.18546,78.65176,68.787384
hospital_advan_cdcrnn_h2_lr0.0001_hs16,hospital,advan,2,0.0001,16,-3,0.719647,355.5304,324.551,89.313,79.277756
hospital_advan_cdcrnn_h2_lr0.0001_hs32,hospital,advan,2,0.0001,32,-3,0.626213,387.5383,356.0514,94.20303,78.53944
hospital_advan_cdcrnn_h2_lr0.0001_hs64,hospital,advan,2,0.0001,64,6,-0.644106,361.46808,333.01187,90.1507,79.23388
hospital_advan_cdcrnn_h2_lr1e-05_hs16,hospital,advan,2,1e-05,16,8,-0.55156,295.3064,324.45605,82.400604,78.48382
hospital_advan_cdcrnn_h2_lr1e-05_hs32,hospital,advan,2,1e-05,32,7,-0.62692,288.1247,301.48544,77.712715,73.744675
hospital_advan_cdcrnn_h2_lr1e-05_hs64,hospital,advan,2,1e-05,64,-2,0.860313,391.98145,344.37222,95.75433,85.49547
hospital_advan_plus_cdcrnn_h1_lr0.0001_hs16,hospital,advan_plus,1,0.0001,16,-3,0.639754,389.96674,286.06567,95.76904,73.724525
hospital_advan_plus_cdcrnn_h1_lr0.0001_hs32,hospital,advan_plus,1,0.0001,32,-4,0.791782,348.77475,322.6765,90.67942,78.48891
hospital_advan_plus_cdcrnn_h1_lr0.0001_hs64,hospital,advan_plus,1,0.0001,64,-2,0.903228,423.44205,356.69846,109.763794,89.97424
hospital_advan_plus_cdcrnn_h1_lr1e-05_hs16,hospital,advan_plus,1,1e-05,16,-3,0.843903,320.44916,319.34833,83.93468,78.684235
hospital_advan_plus_cdcrnn_h1_lr1e-05_hs32,hospital,advan_plus,1,1e-05,32,5,-0.556281,313.54037,288.07162,79.8825,68.72863
hospital_advan_plus_cdcrnn_h1_lr1e-05_hs64,hospital,advan_plus,1,1e-05,64,-2,0.890304,340.0091,304.5921,86.61926,73.95653
hospital_advan_plus_cdcrnn_h2_lr0.0001_hs16,hospital,advan_plus,2,0.0001,16,-2,0.911419,357.30658,323.3442,93.64071,78.76142
hospital_advan_plus_cdcrnn_h2_lr0.0001_hs32,hospital,advan_plus,2,0.0001,32,-2,0.808814,351.29614,356.08936,91.503426,89.74526
hospital_advan_plus_cdcrnn_h2_lr0.0001_hs64,hospital,advan_plus,2,0.0001,64,-4,0.72213,391.5627,367.6339,97.73617,92.74641
hospital_advan_plus_cdcrnn_h2_lr1e-05_hs16,hospital,advan_plus,2,1e-05,16,-3,0.576251,305.4098,302.5927,83.77123,77.572525
hospital_advan_plus_cdcrnn_h2_lr1e-05_hs32,hospital,advan_plus,2,1e-05,32,-4,0.80123,313.8531,369.48068,82.633736,90.71941
hospital_advan_plus_cdcrnn_h2_lr1e-05_hs64,hospital,advan_plus,2,1e-05,64,-2,0.83969,374.04056,305.16473,92.357185,76.900955
hospital_safegraph_cdcrnn_h1_lr0.0001_hs16,hospital,safegraph,1,0.0001,16,4,-0.420603,343.8383,303.8344,85.05525,70.06381
hospital_safegraph_cdcrnn_h1_lr0.0001_hs32,hospital,safegraph,1,0.0001,32,5,-0.457904,300.49252,298.22662,78.887505,68.75597
hospital_safegraph_cdcrnn_h1_lr0.0001_hs64,hospital,safegraph,1,0.0001,64,-1,0.64204,288.8934,319.09116,77.75932,74.597595
hospital_safegraph_cdcrnn_h1_lr1e-05_hs16,hospital,safegraph,1,1e-05,16,-2,0.641319,283.71594,311.92764,79.99395,77.475655
hospital_safegraph_cdcrnn_h1_lr1e-05_hs32,hospital,safegraph,1,1e-05,32,-3,0.615711,273.2081,309.66986,75.20527,66.88082
hospital_safegraph_cdcrnn_h1_lr1e-05_hs64,hospital,safegraph,1,1e-05,64,-2,0.699793,262.42722,331.5292,74.52756,75.10209
hospital_safegraph_cdcrnn_h2_lr0.0001_hs16,hospital,safegraph,2,0.0001,16,30,0.369826,352.17523,324.5889,85.25073,75.81106
hospital_safegraph_cdcrnn_h2_lr0.0001_hs32,hospital,safegraph,2,0.0001,32,29,0.399596,431.43076,302.1373,96.688896,69.45252
hospital_safegraph_cdcrnn_h2_lr0.0001_hs64,hospital,safegraph,2,0.0001,64,30,0.42695,290.87558,423.5094,78.20263,82.83152
hospital_safegraph_cdcrnn_h2_lr1e-05_hs16,hospital,safegraph,2,1e-05,16,-4,0.391438,287.24945,313.60678,77.77821,67.88591
hospital_safegraph_cdcrnn_h2_lr1e-05_hs32,hospital,safegraph,2,1e-05,32,-1,0.785424,342.58145,301.29047,90.87683,75.48459
hospital_safegraph_cdcrnn_h2_lr1e-05_hs64,hospital,safegraph,2,1e-05,64,-2,0.741502,322.18393,337.89337,83.82642,76.61138
