dropout,base_lr,max_epoch,weight_decay,train_loss,test_loss
0.0001,1e-05,1000,0.0005,0.1385247,0.121992745
0.0001,1e-05,1000,0.001,0.13800049,0.14753567
0.0001,1e-05,1000,0.005,0.18891561,0.10629982
0.0001,1e-05,1000,0.01,0.19436614,0.12462292
0.0001,1e-05,1000,0.05,0.19499397,0.105651975
0.0001,1e-05,10000,0.0005,0.05940336,0.09288903
0.0001,1e-05,10000,0.001,0.057345737,0.09280744
0.0001,1e-05,10000,0.005,0.06856855,0.08679172
0.0001,1e-05,10000,0.01,0.07312275,0.08865768
0.0001,1e-05,10000,0.05,0.08788136,0.081850134
0.0001,1e-05,1000,0.0005,0.16760187,0.1246971
0.0001,1e-05,1000,0.001,0.19497843,0.12179657
0.0001,1e-05,1000,0.005,0.18465216,0.124992706
0.0001,1e-05,1000,0.01,0.13290457,0.1254176
0.0001,1e-05,1000,0.05,0.19239497,0.15030807
0.0001,1e-05,10000,0.0005,0.057706624,0.09560871
0.0001,1e-05,10000,0.001,0.056867126,0.10376849
0.0001,1e-05,10000,0.005,0.066819,0.08728778
0.0001,1e-05,10000,0.01,0.073234074,0.08758724
0.0001,1e-05,10000,0.05,0.08846261,0.08365375
0.0001,0.0001,1000,0.0005,0.06679451,0.09774705
0.0001,0.0001,1000,0.001,0.06918583,0.098864056
0.0001,0.0001,1000,0.005,0.07599127,0.100865155
0.0001,0.0001,1000,0.01,0.07865604,0.09739999
0.0001,0.0001,1000,0.05,0.08749544,0.08107243
0.0001,0.0001,10000,0.0005,0.039235678,0.14361425
0.0001,0.0001,10000,0.001,0.036477413,0.12814991
0.0001,0.0001,10000,0.005,0.05066742,0.09672102
0.0001,0.0001,10000,0.01,0.06251736,0.09063816
0.0001,0.0001,10000,0.05,0.091319434,0.07906764
0.0001,0.001,1000,0.0005,0.04119682,0.10131359
0.0001,0.001,1000,0.001,0.04778176,0.101953216
0.0001,0.001,1000,0.005,0.054620948,0.093295954
0.0001,0.001,1000,0.01,0.068094455,0.089001
0.0001,0.001,1000,0.05,0.09117744,0.07908683
0.0001,0.001,10000,0.0005,0.025406726,0.2670502
0.0001,0.001,10000,0.001,0.028429672,0.15335043
0.0001,0.001,10000,0.005,0.048978105,0.111025475
0.0001,0.001,10000,0.01,0.06256441,0.08881891
0.0001,0.001,10000,0.05,0.091205835,0.079158045
0.0001,0.01,1000,0.0005,0.03815792,0.12196662
0.0001,0.01,1000,0.001,0.03994684,0.09697547
0.0001,0.01,1000,0.005,0.057275772,0.08729309
0.0001,0.01,1000,0.01,0.06771808,0.08763206
0.0001,0.01,1000,0.05,0.09130424,0.079002604
0.0001,0.01,10000,0.0005,0.030466676,0.12505631
0.0001,0.01,10000,0.001,0.056979716,0.074400045
0.0001,0.01,10000,0.005,0.056614835,0.090641804
0.0001,0.01,10000,0.01,0.065790065,0.08635166
0.0001,0.01,10000,0.05,0.09119303,0.079123616
0.001,1e-05,1000,0.0005,0.1535556,0.12169746
0.001,1e-05,1000,0.001,0.18981977,0.17063005
0.001,1e-05,1000,0.005,0.17049992,0.11556351
0.001,1e-05,1000,0.01,0.17477481,0.17906779
0.001,1e-05,1000,0.05,0.19067876,0.12239159
0.001,1e-05,10000,0.0005,0.0628143,0.10030677
0.001,1e-05,10000,0.001,0.062066305,0.09649744
0.001,1e-05,10000,0.005,0.069548786,0.08710295
0.001,1e-05,10000,0.01,0.07730261,0.08675174
0.001,1e-05,10000,0.05,0.08733974,0.08013611
0.001,0.0001,1000,0.0005,0.066865616,0.09887275
0.001,0.0001,1000,0.001,0.067510195,0.106550194
0.001,0.0001,1000,0.005,0.074431114,0.09483471
0.001,0.0001,1000,0.01,0.07888171,0.09173123
