date,self_edge_count,inter_edge_count,total_edge_count,prop_self
2020-07-13,89,1564,1653,0.05384150030248034
2020-07-20,157,2935,3092,0.050776196636481245
2020-07-27,164,3073,3237,0.050664195242508495
2020-08-03,178,3168,3346,0.05319784817692767
2020-08-10,173,3066,3239,0.053411546773695584
2020-08-17,152,2873,3025,0.05024793388429752
2020-08-24,125,2568,2693,0.046416635722242854
2020-08-31,141,2428,2569,0.05488516932658622
2020-09-07,130,2253,2383,0.054553084347461187
2020-09-14,96,2135,2231,0.043030031376064544
2020-09-21,118,2145,2263,0.05214317277949625
2020-09-28,116,2219,2335,0.04967880085653105
2020-10-05,140,2573,2713,0.05160339107998525
2020-10-12,176,2997,3173,0.055468011345729595
2020-10-19,194,3129,3323,0.058380981041227804
2020-10-26,191,3290,3481,0.05486929043378339
2020-11-02,239,3725,3964,0.06029263370332997
2020-11-09,275,4372,4647,0.059177964278028836
2020-11-16,338,4922,5260,0.06425855513307985
2020-11-23,438,5907,6345,0.0690307328605201
2020-11-30,358,5389,5747,0.06229337045414999
2020-12-07,371,5424,5795,0.0640207075064711
2020-12-14,414,5701,6115,0.06770237121831561
2020-12-21,418,6244,6662,0.06274392074452116
2020-12-28,480,6867,7347,0.06533278889342589
2021-01-04,388,5713,6101,0.06359613178167514
2021-01-11,356,5789,6145,0.05793327908868999
2021-01-18,371,5383,5754,0.06447688564476886
2021-01-25,338,4840,5178,0.06527616840478949
2021-02-01,320,4254,4574,0.069960647135986
2021-02-08,306,4088,4394,0.06964041875284478
2021-02-15,249,3480,3729,0.0667739340305712
2021-02-22,221,3225,3446,0.0641323273360418
2021-03-01,171,2843,3014,0.056735235567352355
2021-03-08,152,2697,2849,0.053352053352053355
2021-03-15,156,2636,2792,0.055873925501432664
2021-03-22,150,2480,2630,0.057034220532319393
2021-03-29,147,2599,2746,0.053532410779315365
2021-04-05,132,2829,2961,0.044579533941236066
2021-04-12,120,2730,2850,0.042105263157894736
2021-04-19,124,2819,2943,0.042133876996262316
2021-04-26,130,2675,2805,0.04634581105169341
2021-05-03,128,2561,2689,0.0476013387876534
2021-05-10,129,2354,2483,0.05195328231977447
2021-05-17,101,2076,2177,0.04639412034910427
2021-05-24,90,1948,2038,0.04416094210009813
